Field1,Field2,Field3,Field4,Field5
304,B,2,2,5
305,B,2,2,5
306,B,2,2,5
307,B,2,2,5
308,B,2,2,5
309,B,2,2,5
310,B,2,2,5
311,B,2,2,5
312,B,2,2,5
313,B,2,2,5
314,B,2,2,5
315,B,2,2,5
316,B,2,2,5
317,B,2,2,5
318,B,2,2,5
319,B,2,2,5
320,B,2,2,5
321,B,2,2,5
322,B,2,2,5
323,B,2,2,5
324,B,2,2,5
325,B,2,2,5
326,B,2,2,5
327,B,2,2,5
328,B,2,2,5
329,B,2,2,5
330,B,2,2,5
331,B,2,2,5
332,B,2,2,5
333,B,2,2,5
334,B,2,2,5
335,B,2,2,5
336,B,2,2,5
337,B,2,2,5
338,B,2,2,5
339,B,2,2,5
340,B,2,2,5
341,B,2,2,5
342,B,2,2,5
343,B,2,2,5
344,B,2,2,5
345,B,2,2,5
346,B,2,2,5
347,B,2,2,5
348,B,2,2,5
349,B,2,2,5
350,B,2,2,5
351,B,2,2,5
352,B,2,2,5
353,B,2,2,5
354,B,2,2,5
355,B,2,2,5
356,B,2,2,5
357,B,2,2,5
358,B,2,2,5
359,B,2,2,5
360,B,2,2,5
361,B,2,2,5
362,B,2,2,5
363,B,2,2,5
364,B,2,2,5
365,B,2,2,5
366,B,2,2,5
367,B,2,2,5
368,B,2,2,5
369,B,2,2,5
370,B,2,2,5
371,B,2,2,5
372,B,2,2,5
373,B,2,2,5
374,B,2,2,5
375,B,2,2,5
376,B,2,2,5
377,B,2,2,5
378,B,2,2,5
379,B,2,2,5
380,B,2,2,5
381,B,2,2,5
382,B,2,2,5
383,B,2,2,5
384,B,2,2,5
385,B,2,2,5
386,B,2,2,5
387,B,2,2,5
388,B,2,2,5
389,B,2,2,5
390,B,2,2,5
391,B,2,2,5
392,B,2,2,5
393,B,2,2,5
394,B,2,2,5
395,B,2,2,5
396,B,2,2,5
397,B,2,2,5
398,B,2,2,5
399,B,2,2,5
400,B,2,2,5
401,B,2,2,5
402,B,2,2,5
403,B,2,2,5
404,B,2,2,5
405,B,2,2,5
406,B,2,2,5
407,B,2,2,5
408,B,2,2,5
409,B,2,2,5
410,B,2,2,5
411,B,2,2,5
412,B,2,2,5
413,B,2,2,5
414,B,2,2,5
415,B,2,2,5
416,B,2,2,5
417,B,2,2,5
418,B,2,2,5
419,B,2,2,5
420,B,2,2,5
421,B,2,2,5
422,B,2,2,5
423,B,2,2,5
424,B,2,2,5
425,B,2,2,5
426,B,2,2,5
427,B,2,2,5
428,B,2,2,5
429,B,2,2,5
430,B,2,2,5
431,B,2,2,5
432,B,2,2,5
433,B,2,2,5
434,B,2,2,5
435,B,2,2,5
436,B,2,2,5
437,B,2,2,5
438,B,2,2,5
439,B,2,2,5
440,B,2,2,5
441,B,2,2,5
442,B,2,2,5
443,B,2,2,5
444,B,2,2,5
445,B,2,2,5
446,B,2,2,5
447,B,2,2,5
448,B,2,2,5
449,B,2,2,5
450,B,2,2,5
451,B,2,2,5
452,B,2,2,5
453,B,2,2,5
454,B,2,2,5
455,B,2,2,5
456,B,2,2,5
457,B,2,2,5
458,B,2,2,5
459,B,2,2,5
460,B,2,2,5
461,B,2,2,5
462,B,2,2,5
463,B,2,2,5
464,B,2,2,5
465,B,2,2,5
466,B,2,2,5
467,B,2,2,5
468,B,2,2,5
469,B,2,2,5
470,B,2,2,5
471,B,2,2,5
472,B,2,2,5
473,B,2,2,5
474,B,2,2,5
475,B,2,2,5
476,B,2,2,5
477,B,2,2,5
478,B,2,2,5
479,B,2,2,5
480,B,2,2,5
481,B,2,2,5
482,B,2,2,5
483,B,2,2,5
484,B,2,2,5
485,B,2,2,5
486,B,2,2,5
487,B,2,2,5
488,B,2,2,5
489,B,2,2,5
490,B,2,2,5
491,B,2,2,5
492,B,2,2,5
493,B,2,2,5
494,B,2,2,5
495,B,2,2,5
496,B,2,2,5
497,B,2,2,5
498,B,2,2,5
499,B,2,2,5
500,B,2,2,5
501,B,2,2,5
502,B,2,2,5
503,B,2,2,5
504,B,2,2,5
505,B,2,2,5
506,B,2,2,5
507,B,2,2,5
508,B,2,2,5
509,B,2,2,5
510,B,2,2,5
511,B,2,2,5
512,B,2,2,5
513,B,2,2,5
514,B,2,2,5
515,B,2,2,5
516,B,2,2,5
517,B,2,2,5
518,B,2,2,5
519,B,2,2,5
520,B,2,2,5
521,B,2,2,5
522,B,2,2,5
523,B,2,2,5
524,B,2,2,5
525,B,2,2,5
526,B,2,2,5
527,B,2,2,5
528,B,2,2,5
529,B,2,2,5
530,B,2,2,5
531,B,2,2,5
532,B,2,2,5
533,B,2,2,5
534,B,2,2,5
535,B,2,2,5
536,B,2,2,5
537,B,2,2,5
538,B,2,2,5
539,B,2,2,5
540,B,2,2,5
541,B,2,2,5
542,B,2,2,5
543,B,2,2,5
544,B,2,2,5
545,B,2,2,5
546,B,2,2,5
547,B,2,2,5
548,B,2,2,5
549,B,2,2,5
550,B,2,2,5
551,B,2,2,5
552,B,2,2,5
553,B,2,2,5
554,B,2,2,5
555,B,2,2,5
556,B,2,2,5
557,B,2,2,5
558,B,2,2,5
559,B,2,2,5
560,B,2,2,5
561,B,2,2,5
562,B,2,2,5
563,B,2,2,5
564,B,2,2,5
565,B,2,2,5
566,B,2,2,5
567,B,2,2,5
568,B,2,2,5
569,B,2,2,5
570,B,2,2,5
571,B,2,2,5
572,B,2,2,5
573,B,2,2,5
574,B,2,2,5
575,B,2,2,5
576,B,2,2,5
577,B,2,2,5
578,B,2,2,5
579,B,2,2,5
580,B,2,2,5
581,B,2,2,5
582,B,2,2,5
583,B,2,2,5
584,B,2,2,5
585,B,2,2,5
586,B,2,2,5
587,B,2,2,5
588,B,2,2,5
589,B,2,2,5
590,B,2,2,5
591,B,2,2,5
592,B,2,2,5
593,B,2,2,5
594,B,2,2,5
595,B,2,2,5
596,B,2,2,5
597,B,2,2,5
598,B,2,2,5
599,B,2,2,5
600,B,2,2,5
601,B,2,2,5
602,B,2,2,5
603,B,2,2,5
604,B,2,2,5
605,B,2,2,5
606,B,2,2,5
607,B,2,2,5
608,B,2,2,5
609,B,2,2,5
610,B,2,2,5
611,B,2,2,5
612,B,2,2,5
613,B,2,2,5
614,B,2,2,5
615,B,2,2,5
616,B,2,2,5
617,B,2,2,5
618,B,2,2,5
619,B,2,2,5
620,B,2,2,5
621,B,2,2,5
622,B,2,2,5
623,B,2,2,5
624,B,2,2,5
625,B,2,2,5
626,B,2,2,5
627,B,2,2,5
628,B,2,2,5
629,B,2,2,5
630,B,2,2,5
631,B,2,2,5
632,B,2,2,5
633,B,2,2,5
634,B,2,2,5
635,B,2,2,5
636,B,2,2,5
637,B,2,2,5
638,B,2,2,5
639,B,2,2,5
640,B,2,2,5
641,B,2,2,5
642,B,2,2,5
643,B,2,2,5
644,B,2,2,5
645,B,2,2,5
646,B,2,2,5
647,B,2,2,5
648,B,2,2,5
649,B,2,2,5
650,B,2,2,5
651,B,2,2,5
652,B,2,2,5
653,B,2,2,5
654,B,2,2,5
655,B,2,2,5
656,B,2,2,5
657,B,2,2,5
658,B,2,2,5
659,B,2,2,5
660,B,2,2,5
661,B,2,2,5
662,B,2,2,5
663,B,2,2,5
664,B,2,2,5
665,B,2,2,5
666,B,2,2,5
667,B,2,2,5
668,B,2,2,5
669,B,2,2,5
670,B,2,2,5
671,B,2,2,5
672,B,2,2,5
673,B,2,2,5
674,B,2,2,5
675,B,2,2,5
676,B,2,2,5
677,B,2,2,5
678,B,2,2,5
679,B,2,2,5
680,B,2,2,5
681,B,2,2,5
682,B,2,2,5
683,B,2,2,5
684,B,2,2,5
685,B,2,2,5
686,B,2,2,5
687,B,2,2,5
688,B,2,2,5
689,B,2,2,5
690,B,2,2,5
691,B,2,2,5
692,B,2,2,5
693,B,2,2,5
694,B,2,2,5
695,B,2,2,5
696,B,2,2,5
697,B,2,2,5
698,B,2,2,5
699,B,2,2,5
700,B,2,2,5
701,B,2,2,5
702,B,2,2,5
703,B,2,2,5
704,B,2,2,5
705,B,2,2,5
706,B,2,2,5
707,B,2,2,5
708,B,2,2,5
709,B,2,2,5
710,B,2,2,5
711,B,2,2,5
712,B,2,2,5
713,B,2,2,5
714,B,2,2,5
715,B,2,2,5
716,B,2,2,5
717,B,2,2,5
718,B,2,2,5
719,B,2,2,5
720,B,2,2,5
721,B,2,2,5
722,B,2,2,5
723,B,2,2,5
724,B,2,2,5
725,B,2,2,5
726,B,2,2,5
727,B,2,2,5
728,B,2,2,5
729,B,2,2,5
730,B,2,2,5
731,B,2,2,5
732,B,2,2,5
733,B,2,2,5
734,B,2,2,5
735,B,2,2,5
736,B,2,2,5
737,B,2,2,5
738,B,2,2,5
739,B,2,2,5
740,B,2,2,5
741,B,2,2,5
742,B,2,2,5
743,B,2,2,5
744,B,2,2,5
745,B,2,2,5
746,B,2,2,5
747,B,2,2,5
748,B,2,2,5
749,B,2,2,5
750,B,2,2,5
751,B,2,2,5
752,B,2,2,5
753,B,2,2,5
754,B,2,2,5
755,B,2,2,5
756,B,2,2,5
757,B,2,2,5
758,B,2,2,5
759,B,2,2,5
760,B,2,2,5
761,B,2,2,5
762,B,2,2,5
763,B,2,2,5
764,B,2,2,5
765,B,2,2,5
766,B,2,2,5
767,B,2,2,5
768,B,2,2,5
769,B,2,2,5
770,B,2,2,5
771,B,2,2,5
772,B,2,2,5
773,B,2,2,5
774,B,2,2,5
775,B,2,2,5
776,B,2,2,5
777,B,2,2,5
778,B,2,2,5
779,B,2,2,5
780,B,2,2,5
781,B,2,2,5
782,B,2,2,5
783,B,2,2,5
784,B,2,2,5
785,B,2,2,5
786,B,2,2,5
787,B,2,2,5
788,B,2,2,5
789,B,2,2,5
790,B,2,2,5
791,B,2,2,5
792,B,2,2,5
793,B,2,2,5
794,B,2,2,5
795,B,2,2,5
796,B,2,2,5
797,B,2,2,5
798,B,2,2,5
799,B,2,2,5
800,B,2,2,5
801,B,2,2,5
802,B,2,2,5
803,B,2,2,5
804,B,2,2,5
805,B,2,2,5
806,B,2,2,5
807,B,2,2,5
808,B,2,2,5
809,B,2,2,5
810,B,2,2,5
811,B,2,2,5
812,B,2,2,5
813,B,2,2,5
814,B,2,2,5
815,B,2,2,5
816,B,2,2,5
817,B,2,2,5
818,B,2,2,5
819,B,2,2,5
820,B,2,2,5
821,B,2,2,5
822,B,2,2,5
823,B,2,2,5
824,B,2,2,5
825,B,2,2,5
826,B,2,2,5
827,B,2,2,5
828,B,2,2,5
829,B,2,2,5
830,B,2,2,5
831,B,2,2,5
832,B,2,2,5
833,B,2,2,5
834,B,2,2,5
835,B,2,2,5
836,B,2,2,5
837,B,2,2,5
838,B,2,2,5
839,B,2,2,5
840,B,2,2,5
841,B,2,2,5
842,B,2,2,5
843,B,2,2,5
844,B,2,2,5
845,B,2,2,5
846,B,2,2,5
847,B,2,2,5
848,B,2,2,5
849,B,2,2,5
850,B,2,2,5
851,B,2,2,5
852,B,2,2,5
853,B,2,2,5
854,B,2,2,5
855,B,2,2,5
856,B,2,2,5
857,B,2,2,5
858,B,2,2,5
859,B,2,2,5
860,B,2,2,5
861,B,2,2,5
862,B,2,2,5
863,B,2,2,5
864,B,2,2,5
865,B,2,2,5
866,B,2,2,5
867,B,2,2,5
868,B,2,2,5
869,B,2,2,5
870,B,2,2,5
871,B,2,2,5
872,B,2,2,5
873,B,2,2,5
874,B,2,2,5
875,B,2,2,5
876,B,2,2,5
877,B,2,2,5
878,B,2,2,5
879,B,2,2,5
880,B,2,2,5
881,B,2,2,5
882,B,2,2,5
883,B,2,2,5
884,B,2,2,5
885,B,2,2,5
886,B,2,2,5
887,B,2,2,5
888,B,2,2,5
889,B,2,2,5
890,B,2,2,5
891,B,2,2,5
892,B,2,2,5
893,B,2,2,5
894,B,2,2,5
895,B,2,2,5
896,B,2,2,5
897,B,2,2,5
898,B,2,2,5
899,B,2,2,5
900,B,2,2,5
901,B,2,2,5
902,B,2,2,5
903,B,2,2,5
904,B,2,2,5
905,B,2,2,5
906,B,2,2,5
907,B,2,2,5
908,B,2,2,5
909,B,2,2,5
910,B,2,2,5
911,B,2,2,5
912,B,2,2,5
913,B,2,2,5
914,B,2,2,5
915,B,2,2,5
916,B,2,2,5
917,B,2,2,5
918,B,2,2,5
919,B,2,2,5
920,B,2,2,5
921,B,2,2,5
922,B,2,2,5
923,B,2,2,5
924,B,2,2,5
925,B,2,2,5
926,B,2,2,5
927,B,2,2,5
928,B,2,2,5
929,B,2,2,5
930,B,2,2,5
931,B,2,2,5
932,B,2,2,5
933,B,2,2,5
934,B,2,2,5
935,B,2,2,5
936,B,2,2,5
937,B,2,2,5
938,B,2,2,5
939,B,2,2,5
940,B,2,2,5
941,B,2,2,5
942,B,2,2,5
943,B,2,2,5
944,B,2,2,5
945,B,2,2,5
946,B,2,2,5
947,B,2,2,5
948,B,2,2,5
949,B,2,2,5
950,B,2,2,5
951,B,2,2,5
952,B,2,2,5
953,B,2,2,5
954,B,2,2,5
955,B,2,2,5
956,B,2,2,5
957,B,2,2,5
958,B,2,2,5
959,B,2,2,5
960,B,2,2,5
961,B,2,2,5
962,B,2,2,5
963,B,2,2,5
964,B,2,2,5
965,B,2,2,5
966,B,2,2,5
967,B,2,2,5
968,B,2,2,5
969,B,2,2,5
970,B,2,2,5
971,B,2,2,5
972,B,2,2,5
973,B,2,2,5
974,B,2,2,5
975,B,2,2,5
976,B,2,2,5
977,B,2,2,5
978,B,2,2,5
979,B,2,2,5
980,B,2,2,5
981,B,2,2,5
982,B,2,2,5
983,B,2,2,5
984,B,2,2,5
985,B,2,2,5
986,B,2,2,5
987,B,2,2,5
988,B,2,2,5
989,B,2,2,5
990,B,2,2,5
991,B,2,2,5
992,B,2,2,5
993,B,2,2,5
994,B,2,2,5
995,B,2,2,5
996,B,2,2,5
997,B,2,2,5
998,B,2,2,5
999,B,2,2,5
1000,B,2,2,5
1001,B,2,2,5
1002,B,2,2,5
1003,B,2,2,5
1004,B,2,2,5
1005,B,2,2,5
1006,B,2,2,5
1007,B,2,2,5
1008,B,2,2,5
1009,B,2,2,5
1010,B,2,2,5
1011,B,2,2,5
1012,B,2,2,5
1013,B,2,2,5
1014,B,2,2,5
1015,B,2,2,5
1016,B,2,2,5
1017,B,2,2,5
1018,B,2,2,5
1019,B,2,2,5
1020,B,2,2,5
1021,B,2,2,5
1022,B,2,2,5
1023,B,2,2,5
1024,B,2,2,5
1025,B,2,2,5
1026,B,2,2,5
1027,B,2,2,5
1028,B,2,2,5
1029,B,2,2,5
1030,B,2,2,5
1031,B,2,2,5
1032,B,2,2,5
1033,B,2,2,5
1034,B,2,2,5
1035,B,2,2,5
1036,B,2,2,5
1037,B,2,2,5
1038,B,2,2,5
1039,B,2,2,5
1040,B,2,2,5
1041,B,2,2,5
1042,B,2,2,5
1043,B,2,2,5
1044,B,2,2,5
1045,B,2,2,5
1046,B,2,2,5
1047,B,2,2,5
1048,B,2,2,5
1049,B,2,2,5
1050,B,2,2,5
1051,B,2,2,5
1052,B,2,2,5
1053,B,2,2,5
1054,B,2,2,5
1055,B,2,2,5
1056,B,2,2,5
1057,B,2,2,5
1058,B,2,2,5
1059,B,2,2,5
1060,B,2,2,5
1061,B,2,2,5
1062,B,2,2,5
1063,B,2,2,5
1064,B,2,2,5
1065,B,2,2,5
1066,B,2,2,5
1067,B,2,2,5
1068,B,2,2,5
1069,B,2,2,5
1070,B,2,2,5
1071,B,2,2,5
1072,B,2,2,5
1073,B,2,2,5
1074,B,2,2,5
1075,B,2,2,5
1076,B,2,2,5
1077,B,2,2,5
1078,B,2,2,5
1079,B,2,2,5
1080,B,2,2,5
1081,B,2,2,5
1082,B,2,2,5
1083,B,2,2,5
1084,B,2,2,5
1085,B,2,2,5
1086,B,2,2,5
1087,B,2,2,5
1088,B,2,2,5
1089,B,2,2,5
1090,B,2,2,5
1091,B,2,2,5
1092,B,2,2,5
1093,B,2,2,5
1094,B,2,2,5
1095,B,2,2,5
1096,B,2,2,5
1097,B,2,2,5
1098,B,2,2,5
1099,B,2,2,5
1100,B,2,2,5
1101,B,2,2,5
1102,B,2,2,5
1103,B,2,2,5
1104,B,2,2,5
1105,B,2,2,5
1106,B,2,2,5
1107,B,2,2,5
1108,B,2,2,5
1109,B,2,2,5
1110,B,2,2,5
1111,B,2,2,5
1112,B,2,2,5
1113,B,2,2,5
1114,B,2,2,5
1115,B,2,2,5
1116,B,2,2,5
1117,B,2,2,5
1118,B,2,2,5
1119,B,2,2,5
1120,B,2,2,5
1121,B,2,2,5
1122,B,2,2,5
1123,B,2,2,5
1124,B,2,2,5
1125,B,2,2,5
1126,B,2,2,5
1127,B,2,2,5
1128,B,2,2,5
1129,B,2,2,5
1130,B,2,2,5
1131,B,2,2,5
1132,B,2,2,5
1133,B,2,2,5
1134,B,2,2,5
1135,B,2,2,5
1136,B,2,2,5
1137,B,2,2,5
1138,B,2,2,5
1139,B,2,2,5
1140,B,2,2,5
1141,B,2,2,5
1142,B,2,2,5
1143,B,2,2,5
1144,B,2,2,5
1145,B,2,2,5
1146,B,2,2,5
1147,B,2,2,5
1148,B,2,2,5
1149,B,2,2,5
1150,B,2,2,5
1151,B,2,2,5
1152,B,2,2,5
1153,B,2,2,5
1154,B,2,2,5
1155,B,2,2,5
1156,B,2,2,5
1157,B,2,2,5
1158,B,2,2,5
1159,B,2,2,5
1160,B,2,2,5
1161,B,2,2,5
1162,B,2,2,5
1163,B,2,2,5
1164,B,2,2,5
1165,B,2,2,5
1166,B,2,2,5
1167,B,2,2,5
1168,B,2,2,5
1169,B,2,2,5
1170,B,2,2,5
1171,B,2,2,5
1172,B,2,2,5
1173,B,2,2,5
1174,B,2,2,5
1175,B,2,2,5
1176,B,2,2,5
1177,B,2,2,5
1178,B,2,2,5
1179,B,2,2,5
1180,B,2,2,5
1181,B,2,2,5
1182,B,2,2,5
1183,B,2,2,5
1184,B,2,2,5
1185,B,2,2,5
1186,B,2,2,5
1187,B,2,2,5
1188,B,2,2,5
1189,B,2,2,5
1190,B,2,2,5
1191,B,2,2,5
1192,B,2,2,5
1193,B,2,2,5
1194,B,2,2,5
1195,B,2,2,5
1196,B,2,2,5
1197,B,2,2,5
1198,B,2,2,5
1199,B,2,2,5
1200,B,2,2,5
1201,B,2,2,5
1202,B,2,2,5
1203,B,2,2,5
1204,B,2,2,5
1205,B,2,2,5
1206,B,2,2,5
1207,B,2,2,5
1208,B,2,2,5
1209,B,2,2,5
1210,B,2,2,5
1211,B,2,2,5
1212,B,2,2,5
1213,B,2,2,5
1214,B,2,2,5
1215,B,2,2,5
1216,B,2,2,5
1217,B,2,2,5
1218,B,2,2,5
1219,B,2,2,5
1220,B,2,2,5
1221,B,2,2,5
1222,B,2,2,5
1223,B,2,2,5
1224,B,2,2,5
1225,B,2,2,5
1226,B,2,2,5
1227,B,2,2,5
1228,B,2,2,5
1229,B,2,2,5
1230,B,2,2,5
1231,B,2,2,5
1232,B,2,2,5
1233,B,2,2,5
1234,B,2,2,5
1235,B,2,2,5
1236,B,2,2,5
1237,B,2,2,5
1238,B,2,2,5
1239,B,2,2,5
1240,B,2,2,5
1241,B,2,2,5
1242,B,2,2,5
1243,B,2,2,5
1244,B,2,2,5
1245,B,2,2,5
1246,B,2,2,5
1247,B,2,2,5
1248,B,2,2,5
1249,B,2,2,5
1250,B,2,2,5
1251,B,2,2,5
1252,B,2,2,5
1253,B,2,2,5
1254,B,2,2,5
1255,B,2,2,5
1256,B,2,2,5
1257,B,2,2,5
1258,B,2,2,5
1259,B,2,2,5
1260,B,2,2,5
1261,B,2,2,5
1262,B,2,2,5
1263,B,2,2,5
1264,B,2,2,5
1265,B,2,2,5
1266,B,2,2,5
1267,B,2,2,5
1268,B,2,2,5
1269,B,2,2,5
1270,B,2,2,5
1271,B,2,2,5
1272,B,2,2,5
1273,B,2,2,5
1274,B,2,2,5
1275,B,2,2,5
1276,B,2,2,5
1277,B,2,2,5
1278,B,2,2,5
1279,B,2,2,5
1280,B,2,2,5
1281,B,2,2,5
1282,B,2,2,5
1283,B,2,2,5
1284,B,2,2,5
1285,B,2,2,5
1286,B,2,2,5
1287,B,2,2,5
1288,B,2,2,5
1289,B,2,2,5
1290,B,2,2,5
1291,B,2,2,5
1292,B,2,2,5
1293,B,2,2,5
1294,B,2,2,5
1295,B,2,2,5
1296,B,2,2,5
1297,B,2,2,5
1298,B,2,2,5
1299,B,2,2,5
1300,B,2,2,5
1301,B,2,2,5
1302,B,2,2,5
1303,B,2,2,5
1304,B,2,2,5
1305,B,2,2,5
1306,B,2,2,5
1307,B,2,2,5
1308,B,2,2,5
1309,B,2,2,5
1310,B,2,2,5
1311,B,2,2,5
1312,B,2,2,5
1313,B,2,2,5
1314,B,2,2,5
1315,B,2,2,5
1316,B,2,2,5
1317,B,2,2,5
1318,B,2,2,5
1319,B,2,2,5
1320,B,2,2,5
1321,B,2,2,5
1322,B,2,2,5
1323,B,2,2,5
1324,B,2,2,5
1325,B,2,2,5
1326,B,2,2,5
1327,B,2,2,5
1328,B,2,2,5
1329,B,2,2,5
1330,B,2,2,5
1331,B,2,2,5
1332,B,2,2,5
1333,B,2,2,5
1334,B,2,2,5
1335,B,2,2,5
1336,B,2,2,5
1337,B,2,2,5
1338,B,2,2,5
1339,B,2,2,5
1340,B,2,2,5
1341,B,2,2,5
1342,B,2,2,5
1343,B,2,2,5
1344,B,2,2,5
1345,B,2,2,5
1346,B,2,2,5
1347,B,2,2,5
1348,B,2,2,5
1349,B,2,2,5
1350,B,2,2,5
1351,B,2,2,5
1352,B,2,2,5
1353,B,2,2,5
1354,B,2,2,5
1355,B,2,2,5
1356,B,2,2,5
1357,B,2,2,5
1358,B,2,2,5
1359,B,2,2,5
1360,B,2,2,5
